parent_original,parent_archive_url,parent_content_year,parent_issue_numbers,media_original,archived_media_url,resolved_url,content_type,bytes,sha256,width,height,format,aspect,large_image,document_geometry,ocr_hits,ocr_excerpt,error
http://www.qlsn.com/,https://web.archive.org/web/20040716162949id_/http://www.qlsn.com/,,,http://www.qlsn.com/111.jpg,https://web.archive.org/web/20041016024921id_/http://www.qlsn.com/111.jpg,https://web.archive.org/web/20041016024921id_/http://www.qlsn.com/111.jpg,image/jpeg,24871,89587947474ec28c1e2d36b74c04db5b7660af4685db758df796667b095fef79,221,80,JPEG,2.763,no,no,,,
http://www.qlsn.com/,https://web.archive.org/web/20040716162949id_/http://www.qlsn.com/,,,http://www.qlsn.com/banner_colorbird.gif,https://web.archive.org/web/20041016065636id_/http://www.qlsn.com/banner_colorbird.gif,https://web.archive.org/web/20041016065636id_/http://www.qlsn.com/banner_colorbird.gif,image/gif,12893,ff7b8f9e0a901f18169d95fe6c6a48615bb88ba0dc071c9e2ad6340a5b08ad85,468,60,GIF,7.800,no,no,,,
http://www.qlsn.com/bbs/bokeindex.asp?show_topic.2.html,https://web.archive.org/web/20061216083601id_/http://www.qlsn.com/bbs/bokeindex.asp?show_topic.2.html,,,http://www.qlsn.com/bbs/boke/Images/boke_logo.gif,https://web.archive.org/web/20061215123518id_/http://www.qlsn.com/bbs/boke/Images/boke_logo.gif,https://web.archive.org/web/20061215123518id_/http://www.qlsn.com/bbs/boke/Images/boke_logo.gif,image/gif,2189,c59ba93642b098985f17c69594c489ef63ba5a6a357f86660e1d903efdc3cc2e,88,31,GIF,2.839,no,no,,,
http://www.qlsn.com/,https://web.archive.org/web/20040716162949id_/http://www.qlsn.com/,,,http://www.qlsn.com/images/0090m.jpg,https://web.archive.org/web/20041016082242id_/http://www.qlsn.com/images/0090m.jpg,https://web.archive.org/web/20041016082242id_/http://www.qlsn.com/images/0090m.jpg,image/jpeg,11436,26ecd49cb4da1e13f9eb5ed8615c6db0140c83304408321d3e436d292f1038db,100,98,JPEG,1.020,no,no,,,
http://www.qlsn.com/,https://web.archive.org/web/20040716162949id_/http://www.qlsn.com/,,,http://www.qlsn.com/images/2001-2-39.gif,https://web.archive.org/web/20041016085608id_/http://www.qlsn.com/images/2001-2-39.gif,https://web.archive.org/web/20041016085608id_/http://www.qlsn.com/images/2001-2-39.gif,image/gif,80,c4a7e03d42a34643c627b883bf1e7d20797e80c19e2e5de490cbc8d85074a85f,11,7,GIF,1.571,no,no,,,
http://www.qlsn.com/,https://web.archive.org/web/20040716162949id_/http://www.qlsn.com/,,,http://www.qlsn.com/images/arrow01.gif,https://web.archive.org/web/20041016090407id_/http://www.qlsn.com/images/arrow01.gif,https://web.archive.org/web/20041016090407id_/http://www.qlsn.com/images/arrow01.gif,image/gif,104,f840d9a7c8e0d9e639b49efd2456b1defd5f48a4b1980a9d3dfbf789d3fb6029,13,13,GIF,1.000,no,no,,,
http://www.qlsn.com/,https://web.archive.org/web/20040716162949id_/http://www.qlsn.com/,,,http://www.qlsn.com/images/arrow02.gif,https://web.archive.org/web/20041016100308id_/http://www.qlsn.com/images/arrow02.gif,https://web.archive.org/web/20041016100308id_/http://www.qlsn.com/images/arrow02.gif,image/gif,104,bd214ea9b3b7562faaf7551bd779427c17f1426010359902779dae0732766e90,13,13,GIF,1.000,no,no,,,
http://www.qlsn.com/,https://web.archive.org/web/20040716162949id_/http://www.qlsn.com/,,,http://www.qlsn.com/images/goeway.jpg,https://web.archive.org/web/20050320074404id_/http://www.qlsn.com/images/goeway.jpg,https://web.archive.org/web/20050320074404id_/http://www.qlsn.com/images/goeway.jpg,image/jpeg,13023,b4b4c03797eaa8135355d4aa8a0d6c06b73eb540d3d6c6e0507613ad93990b8e,133,100,JPEG,1.330,no,no,,,
http://www.qlsn.com/,https://web.archive.org/web/20040716162949id_/http://www.qlsn.com/,,,http://www.qlsn.com/images/ludong.jpg,https://web.archive.org/web/20041016202124id_/http://www.qlsn.com/images/ludong.jpg,,,,,,,,,no,no,,,URLError: <urlopen error timed out>
http://www.qlsn.com/,https://web.archive.org/web/20040716162949id_/http://www.qlsn.com/,,,http://www.qlsn.com/images/more01.gif,https://web.archive.org/web/20041016205527id_/http://www.qlsn.com/images/more01.gif,,,,,,,,,no,no,,,URLError: <urlopen error timed out>
